"","Post","Entity","Position","Type","message"
"3061","486","2021","60","Date","RT @WaterlooENG : Congratulations #UWaterlooGrad! Class of 2021, today we celebrate your academic achievements at your virtual convocation celebration and ceremony! Starting at 6PM ET, join us with classmates, friends and family as we celebrate at two live-steamed events. https://t.co/529Xm75ZFD"
"3062","486","today","66","Date","RT @WaterlooENG : Congratulations #UWaterlooGrad! Class of 2021, today we celebrate your academic achievements at your virtual convocation celebration and ceremony! Starting at 6PM ET, join us with classmates, friends and family as we celebrate at two live-steamed events. https://t.co/529Xm75ZFD"
"3063","49","Today","31","Date","#HappyInternationalWomensDay! Today, we observe and celebrate women's social, economic, cultural, and political achievements. In honour of this day, here are a few stories of #UWaterlooWomen doing extraordinary things. 

Find their stories here: https://t.co/aNP6iWLEFb https://t.co/o3dqu2TqXH"
"3064","490","Read","204","Organization","Theresa O’Neill is the first in her family to graduate from a post-secondary institution. She has dedicated her time to understanding the vital role our leafy friends play in our health and well-being.

Read her story: https://t.co/nHjdTFuL4J | #UWaterlooGrad #UWaterlooProud https://t.co/gD2I4Ii2Fv"
"3065","492","Convocation","111","Organization","RT @UWaterlooSPHS : Today, we are celebrating the achievements of #UWaterlooSPHS students at our live virtual Convocation ceremony! Congratulations and good luck to all #UWaterlooGrad’s on their new beginnings! 

??https://t.co/o1GVPZjqlK #UWaterlooProud https://t.co/ha8penwpfs"
"3066","492","Today","21","Date","RT @UWaterlooSPHS : Today, we are celebrating the achievements of #UWaterlooSPHS students at our live virtual Convocation ceremony! Congratulations and good luck to all #UWaterlooGrad’s on their new beginnings! 

??https://t.co/o1GVPZjqlK #UWaterlooProud https://t.co/ha8penwpfs"
"3067","493","2021","49","Date","RT @WaterlooENG : #WaterlooEngineering Class of 2021, your virtual convocation celebration &amp; ceremony are nearly here! Tomorrow, join us for two live-streamed events to celebrate your academic achievements with your classmates, friends &amp; family. RSVP online. #UWaterlooGrad
https://t.co/529Xm7nAxb"
"3068","493","Tomorrow","124","Date","RT @WaterlooENG : #WaterlooEngineering Class of 2021, your virtual convocation celebration &amp; ceremony are nearly here! Tomorrow, join us for two live-streamed events to celebrate your academic achievements with your classmates, friends &amp; family. RSVP online. #UWaterlooGrad
https://t.co/529Xm7nAxb"
"3069","493","://t.co/529Xm7nAxb","288","Date","RT @WaterlooENG : #WaterlooEngineering Class of 2021, your virtual convocation celebration &amp; ceremony are nearly here! Tomorrow, join us for two live-streamed events to celebrate your academic achievements with your classmates, friends &amp; family. RSVP online. #UWaterlooGrad
https://t.co/529Xm7nAxb"
"3070","494","Abbie Ho","159","Person","This fall, 274 @uwaterloohealth graduands will celebrate their achievements as students and begin their journeys as @uwaterlooalumni. 

Two health graduates, Abbie Ho and Michael Paris tell us what motivated them during their studies.

?? https://t.co/QCdKksD2nR | #UWaterlooGrad https://t.co/KSnV9RVy1d"
"3071","494","Michael Paris","172","Person","This fall, 274 @uwaterloohealth graduands will celebrate their achievements as students and begin their journeys as @uwaterlooalumni. 

Two health graduates, Abbie Ho and Michael Paris tell us what motivated them during their studies.

?? https://t.co/QCdKksD2nR | #UWaterlooGrad https://t.co/KSnV9RVy1d"
"3072","495","this weekend","69","Date","RT @WaterlooSci : There are plenty of ways to celebrate convocation this weekend:

?? Pick up a lawn sign
?? Purchase a diploma frame from the WStore
?? Pick out a fun UW grad gift
?? &amp; more!

All convocation details can be found on our website:
https://t.co/wiA0t8ajRl #UWaterlooSci #UWaterlooGrad https://t.co/AJwSSWmOh7"
"3073","496","Matthew Robbins","53","Person","RT @UWaterlooGSPA : Check out the amazing bear that Matthew Robbins' mom crocheted for him as a PhD graduate in @UWaterlooSci! What a unique way to celebrate one of our newest @uwaterlooalumni. Congratulations to everyone who made it to the finish line! #UWaterlooProud and #UWaterlooGrad https://t.co/2F5uRBsfB2"
"3074","498","this week","91","Date","RT @UWaterlooPres : I look forward to celebrating our graduates and their accomplishments this week at my first convocation ceremonies at @UWaterloo. 

#UWaterlooGrad https://t.co/vwwHeWDxVx"
"3075","499","2021","34","Date","RT @lich93 : It's official! Fall 2021 #PhD Virtual Reception. Congratulations, Class of 2021! #UWaterlooGrad, #UWEnvironmentGrad @envwaterloo @GeogWaterloo @UWaterloo @uwaterlooalumni @jasonthistle @DanielHenstra @horatiurus https://t.co/6ve4Zr4PrS"
"3076","499","2021","89","Date","RT @lich93 : It's official! Fall 2021 #PhD Virtual Reception. Congratulations, Class of 2021! #UWaterlooGrad, #UWEnvironmentGrad @envwaterloo @GeogWaterloo @UWaterloo @uwaterlooalumni @jasonthistle @DanielHenstra @horatiurus https://t.co/6ve4Zr4PrS"
"3077","50","tomorrow","47","Date","RT @uwaterlooalumni : With #IWD2022 coming up tomorrow, re-discover seven exceptional Waterloo alumni breaking gender-based barriers!

From climate policy, entrepreneurship, STEM and innovative inventions, these women are sure to inspire ? https://t.co/Srp3c6L5ds

@UWaterloo #uwaterlooalumni https://t.co/GvL95WQXgH"
"3078","501","Victor Wang","116","Person","RT @uwaterlooARTS : #UWaterlooGrad starts today with a special celebration for our newly-minted PhDs.  Congrats to Victor Wang and our colleagues across campus  ???? https://t.co/N1KzpPWDWT"
"3079","501","today","43","Date","RT @uwaterlooARTS : #UWaterlooGrad starts today with a special celebration for our newly-minted PhDs.  Congrats to Victor Wang and our colleagues across campus  ???? https://t.co/N1KzpPWDWT"
"3080","503","today","31","Date","RT @uwaterlooHREI : Happening today, 1-2:30pm: Let's Talk about Mental Health at the Intersections.

Discussions will centre on intersectionality, disabilities, gender &amp; sexual identity, race &amp; immigration &amp; achieving well-being. Moderated by @b_momani

Still time to register https://t.co/myqvLtttir https://t.co/ZJoVHgGky6"
"3081","504","this week","47","Date","RT @UWaterloo : In celebration of convocation this week, #UWaterloo has set up a virtual photo booth for each faculty. 

Take your photo using the virtual photo booth if you want it to be included in your ceremony.

Click here: https://t.co/DKgW1ytBsC | #UWaterlooGrad https://t.co/NgCZmmSDSe"
"3082","505","Ben Zhang","14","Person","*Correction: Ben Zhang's (BCS ’20)"
"3083","506","PHOTOBOOTH","199","Organization","RT @UWaterlooLife : Congrats to all our Warriors celebrating their convocation, this milestone will be celebrated online from October 22-23! ??
Show off your #UWaterlooGrad spirit using the virtual PHOTOBOOTH, picking up the grad items &amp; more!

For more info: https://t.co/jZeZkLmxwp
@UWaterloo https://t.co/cbHumumSdP"
"3084","506","from October 22-23","122","Date","RT @UWaterlooLife : Congrats to all our Warriors celebrating their convocation, this milestone will be celebrated online from October 22-23! ??
Show off your #UWaterlooGrad spirit using the virtual PHOTOBOOTH, picking up the grad items &amp; more!

For more info: https://t.co/jZeZkLmxwp
@UWaterloo https://t.co/cbHumumSdP"
"3085","507","Brian Mao","1","Person","Brian Mao (BASc ’20) and Ben Zhang (BSC ’20) are expect to be part of history this weekend when an autonomous, million-dollar racecar they helped develop drives itself around the famed Indianapolis Motor Speedway at speeds of up to 120 miles per hour.

??https://t.co/u6GHTN9Aut https://t.co/HsdgILr413"
"3086","507","Ben Zhang","26","Person","Brian Mao (BASc ’20) and Ben Zhang (BSC ’20) are expect to be part of history this weekend when an autonomous, million-dollar racecar they helped develop drives itself around the famed Indianapolis Motor Speedway at speeds of up to 120 miles per hour.

??https://t.co/u6GHTN9Aut https://t.co/HsdgILr413"
"3087","507","this weekend","79","Date","Brian Mao (BASc ’20) and Ben Zhang (BSC ’20) are expect to be part of history this weekend when an autonomous, million-dollar racecar they helped develop drives itself around the famed Indianapolis Motor Speedway at speeds of up to 120 miles per hour.

??https://t.co/u6GHTN9Aut https://t.co/HsdgILr413"
"3088","507","Indianapolis","186","Location","Brian Mao (BASc ’20) and Ben Zhang (BSC ’20) are expect to be part of history this weekend when an autonomous, million-dollar racecar they helped develop drives itself around the famed Indianapolis Motor Speedway at speeds of up to 120 miles per hour.

??https://t.co/u6GHTN9Aut https://t.co/HsdgILr413"
"3089","508","Student Portal","233","Organization","RT @uwaterlooHREI : ""I participated in the Equity Survey because my information could lead to the creation and expansion of more prayer spaces on campus."" 

First ?? of data collection closes Oct 31! Visit Learn, Workday, &amp; the Student Portal to complete #UWaterloo's Equity Survey. https://t.co/g4nSlW0MCQ"
"3090","508","UWaterloo's Equity Survey","261","Organization","RT @uwaterlooHREI : ""I participated in the Equity Survey because my information could lead to the creation and expansion of more prayer spaces on campus."" 

First ?? of data collection closes Oct 31! Visit Learn, Workday, &amp; the Student Portal to complete #UWaterloo's Equity Survey. https://t.co/g4nSlW0MCQ"
"3091","508","Oct 31!","193","Date","RT @uwaterlooHREI : ""I participated in the Equity Survey because my information could lead to the creation and expansion of more prayer spaces on campus."" 

First ?? of data collection closes Oct 31! Visit Learn, Workday, &amp; the Student Portal to complete #UWaterloo's Equity Survey. https://t.co/g4nSlW0MCQ"
"3092","509","School of Social Work","244","Organization","RT @renisoncollege : Dr. Donald M’Timkulu, hired at Renison and a popular Sociology prof (later acting Principal of Renison), was one of @uwaterloo campus' first Black faculty members, and was influential in establishing the beginnings of the School of Social Work!

@waterloohistory @DrCSTaylor https://t.co/oG0KYrUPAU"
"3093","509","Donald M’Timkulu","26","Person","RT @renisoncollege : Dr. Donald M’Timkulu, hired at Renison and a popular Sociology prof (later acting Principal of Renison), was one of @uwaterloo campus' first Black faculty members, and was influential in establishing the beginnings of the School of Social Work!

@waterloohistory @DrCSTaylor https://t.co/oG0KYrUPAU"
"3094","51","Research Chair Ian Goldberg","8","Organization","Canada Research Chair Ian Goldberg sees privacy as a precondition for freedom, dignity, and autonomy. His work focuses on how privacy and #cybersecurity can foster 21st Century #democracy.

Read more: https://t.co/CL4a0U2M4l | #UWaterloo https://t.co/IFyz5nI56f"
"3095","51","://t.co/CL4a0U2M4l","207","Date","Canada Research Chair Ian Goldberg sees privacy as a precondition for freedom, dignity, and autonomy. His work focuses on how privacy and #cybersecurity can foster 21st Century #democracy.

Read more: https://t.co/CL4a0U2M4l | #UWaterloo https://t.co/IFyz5nI56f"
"3096","51","Century","170","Location","Canada Research Chair Ian Goldberg sees privacy as a precondition for freedom, dignity, and autonomy. His work focuses on how privacy and #cybersecurity can foster 21st Century #democracy.

Read more: https://t.co/CL4a0U2M4l | #UWaterloo https://t.co/IFyz5nI56f"
"3097","510","AMTD Waterloo Global Talent Postdoctoral Fellowships","44","Organization","Are you a doctoral or postdoc student? The AMTD Waterloo Global Talent Postdoctoral Fellowships invites applications for a prestigious one or two year fellowship. Funding includes a $75,000 annual salary, an engagement fund of $7,500

Apply here: https://t.co/Ye9wOrVMOj https://t.co/ygv6OiRHXe"
"3098","510","$75,000","183","Money","Are you a doctoral or postdoc student? The AMTD Waterloo Global Talent Postdoctoral Fellowships invites applications for a prestigious one or two year fellowship. Funding includes a $75,000 annual salary, an engagement fund of $7,500

Apply here: https://t.co/Ye9wOrVMOj https://t.co/ygv6OiRHXe"
"3099","511","Oct 21 at","219","Date","Intersectionality, disabilities, gender &amp; sexual identity, race &amp; immigration &amp; achieving well-being are some of the issues to be discussed at Let's Talk about Mental Health at the Intersections, on Thurs. Oct 21 at 1pm, moderated by @b_momani. 

Register: https://t.co/JThPCaliIa https://t.co/KkTVvBIhTd"
"3100","512","this week","29","Date","Convocation is taking place this week! #UWaterloo is proud to honour the many accomplishments of our 2021 graduates and will mark this milestone with a live, online convocation ceremony. 

Please register to attend: https://t.co/NEkzPpHlQj | #UWaterlooGrad https://t.co/9MmQJzKIaT"
"3101","512","2021","102","Date","Convocation is taking place this week! #UWaterloo is proud to honour the many accomplishments of our 2021 graduates and will mark this milestone with a live, online convocation ceremony. 

Please register to attend: https://t.co/NEkzPpHlQj | #UWaterlooGrad https://t.co/9MmQJzKIaT"
"3102","513","this week","31","Date","In celebration of convocation this week, #UWaterloo has set up a virtual photo booth for each faculty. 

Take your photo using the virtual photo booth if you want it to be included in your ceremony.

Click here: https://t.co/DKgW1ytBsC | #UWaterlooGrad https://t.co/NgCZmmSDSe"
"3103","514","Islamic Heritage Month Spotlight","21","Organization","RT @uwaterlooHREI : Islamic Heritage Month Spotlight Series continues with Nealob Kakar (she/her): a graduate &amp; co-op student! Aside from working in the Equity office &amp; volunteering in the community, she aims to use her identities as a queer Afghan Muslim to advocate for LGBTQ+ Muslim issues. (1/2) https://t.co/LAUt2krNal"
"3104","518","next week","54","Date","Congratulations to our grads celebrating convocation next week! #UWaterloo has set up a virtual photo booth for each faculty. Take your photo using the virtual photo booth if you want it to be included in your ceremony.

Click here: https://t.co/DKgW1yLcka | #UWaterlooGrad https://t.co/WxRDTYHEr8"
"3105","519","Mark Jaccard","29","Person","Energy economist and author Mark Jaccard will deliver the 2021 UWaterloo's Hagey Lecture on October 27 on what is required on a simple path to climate success—and what you can contribute.

Register: https://t.co/b0dCngyUo5 https://t.co/BUGOdGS97d"
"3106","519","2021","59","Date","Energy economist and author Mark Jaccard will deliver the 2021 UWaterloo's Hagey Lecture on October 27 on what is required on a simple path to climate success—and what you can contribute.

Register: https://t.co/b0dCngyUo5 https://t.co/BUGOdGS97d"
"3107","519","October 27","93","Date","Energy economist and author Mark Jaccard will deliver the 2021 UWaterloo's Hagey Lecture on October 27 on what is required on a simple path to climate success—and what you can contribute.

Register: https://t.co/b0dCngyUo5 https://t.co/BUGOdGS97d"
"3108","52","Political Science Student's Association","38","Organization","RT @PSCIuWaterloo : ?? The uWaterloo Political Science Student's Association is organizing an event on the Russo-Ukrainian War with speakers @ALanoszka and Tanya Richardson (@LaurierArts) on the evening of 7 March.

To register, follow the link: https://t.co/G3VmyjMjL6 https://t.co/hK2BLxUJD1"
"3109","52","Tanya Richardson","157","Person","RT @PSCIuWaterloo : ?? The uWaterloo Political Science Student's Association is organizing an event on the Russo-Ukrainian War with speakers @ALanoszka and Tanya Richardson (@LaurierArts) on the evening of 7 March.

To register, follow the link: https://t.co/G3VmyjMjL6 https://t.co/hK2BLxUJD1"
"3110","52","March","209","Date","RT @PSCIuWaterloo : ?? The uWaterloo Political Science Student's Association is organizing an event on the Russo-Ukrainian War with speakers @ALanoszka and Tanya Richardson (@LaurierArts) on the evening of 7 March.

To register, follow the link: https://t.co/G3VmyjMjL6 https://t.co/hK2BLxUJD1"
"3111","520","Oct 21 at","234","Date","Has a lack of representation in healthcare harmed racialized communities? @dr_yewande will address this topic &amp; other issues affecting racialized immigrants during ""Let's Talk about Mental Health at the Intersections"", on Thurs. Oct 21 at 1pm. 

Register: https://t.co/JThPCaCTzI https://t.co/cRRzPKTFM0"
"3112","522","Meridian Commitment","50","Organization","Charlene Rocha has been recognized with the 2021 Meridian Commitment to Communities Sean Jackson Scholarship, which recognizes her energy, creativity and entrepreneurial skills to solve or address a vital community problem.

Read this story: https://t.co/PLa19CeVwI | @WaterlooENG https://t.co/ThJJqkdjtf"
"3113","522","Sean Jackson Scholarship","85","Person","Charlene Rocha has been recognized with the 2021 Meridian Commitment to Communities Sean Jackson Scholarship, which recognizes her energy, creativity and entrepreneurial skills to solve or address a vital community problem.

Read this story: https://t.co/PLa19CeVwI | @WaterlooENG https://t.co/ThJJqkdjtf"
"3114","522","2021","45","Date","Charlene Rocha has been recognized with the 2021 Meridian Commitment to Communities Sean Jackson Scholarship, which recognizes her energy, creativity and entrepreneurial skills to solve or address a vital community problem.

Read this story: https://t.co/PLa19CeVwI | @WaterlooENG https://t.co/ThJJqkdjtf"
"3115","525","Marina Mourtzakis","74","Person","Around 27,400 women in Canada were diagnosed with breast cancer in 2020. Marina Mourtzakis’ research examines the relationships between nutrition, exercise, body composition and the effects of these factors on muscle metabolism in patients with cancer.

 ??https://t.co/9736LZNHOy https://t.co/QE7S8GJ71V"
"3116","525","2020","68","Date","Around 27,400 women in Canada were diagnosed with breast cancer in 2020. Marina Mourtzakis’ research examines the relationships between nutrition, exercise, body composition and the effects of these factors on muscle metabolism in patients with cancer.

 ??https://t.co/9736LZNHOy https://t.co/QE7S8GJ71V"
"3117","525","://t.co/QE7S8GJ71V","287","Date","Around 27,400 women in Canada were diagnosed with breast cancer in 2020. Marina Mourtzakis’ research examines the relationships between nutrition, exercise, body composition and the effects of these factors on muscle metabolism in patients with cancer.

 ??https://t.co/9736LZNHOy https://t.co/QE7S8GJ71V"
"3118","525","Canada","24","Location","Around 27,400 women in Canada were diagnosed with breast cancer in 2020. Marina Mourtzakis’ research examines the relationships between nutrition, exercise, body composition and the effects of these factors on muscle metabolism in patients with cancer.

 ??https://t.co/9736LZNHOy https://t.co/QE7S8GJ71V"
"3119","526","next week","39","Date","RT @UW_Wellness : Thrive Month starts next week, Oct 18 - Nov 12! Join us for a series of events focused on building a culture of wellbeing and normalizing mental health struggles for Waterloo students and employees. For more information and to register, visit: https://t.co/IPeizhEwj6 https://t.co/eiiAsWh6lq"
"3120","527","Talk Mental Health","175","Organization","As #UWaterloo gears up to celebrate Thrive Month, the President’s Anti-racism Taskforce, in collaboration with Thrive, has organized a virtual panel discussion called “Let’s Talk Mental Health at the Intersections” on Thursday, October 21.

Learn more: https://t.co/g8owinxTJS https://t.co/QQdT3v8kXV"
"3121","527","Thursday","219","Date","As #UWaterloo gears up to celebrate Thrive Month, the President’s Anti-racism Taskforce, in collaboration with Thrive, has organized a virtual panel discussion called “Let’s Talk Mental Health at the Intersections” on Thursday, October 21.

Learn more: https://t.co/g8owinxTJS https://t.co/QQdT3v8kXV"
"3122","527","October 21","229","Date","As #UWaterloo gears up to celebrate Thrive Month, the President’s Anti-racism Taskforce, in collaboration with Thrive, has organized a virtual panel discussion called “Let’s Talk Mental Health at the Intersections” on Thursday, October 21.

Learn more: https://t.co/g8owinxTJS https://t.co/QQdT3v8kXV"
"3123","529","Medical Company","8","Organization","Baylis Medical Company Inc., which is co-owned by @WaterlooENG alumni Frank Baylis (BASc ’86) and Kris Shah (BASc ’86), announced this week that it has reached a deal to sell its cardiology business for $1.75 billion USD.

Read more: https://t.co/J2epEyiQSr |  @BaylisMedical https://t.co/CxiMPkr9L8"
"3124","529","Frank Baylis","71","Person","Baylis Medical Company Inc., which is co-owned by @WaterlooENG alumni Frank Baylis (BASc ’86) and Kris Shah (BASc ’86), announced this week that it has reached a deal to sell its cardiology business for $1.75 billion USD.

Read more: https://t.co/J2epEyiQSr |  @BaylisMedical https://t.co/CxiMPkr9L8"
"3125","529","this week","131","Date","Baylis Medical Company Inc., which is co-owned by @WaterlooENG alumni Frank Baylis (BASc ’86) and Kris Shah (BASc ’86), announced this week that it has reached a deal to sell its cardiology business for $1.75 billion USD.

Read more: https://t.co/J2epEyiQSr |  @BaylisMedical https://t.co/CxiMPkr9L8"
"3126","529","$1.75 billion","204","Money","Baylis Medical Company Inc., which is co-owned by @WaterlooENG alumni Frank Baylis (BASc ’86) and Kris Shah (BASc ’86), announced this week that it has reached a deal to sell its cardiology business for $1.75 billion USD.

Read more: https://t.co/J2epEyiQSr |  @BaylisMedical https://t.co/CxiMPkr9L8"
"3127","530","March 2020","26","Date","When the pandemic hit in March 2020, #UWaterloo quickly pivoted to develop new ways for students and employers to continue realizing their co-op advantage. As a result, in 2021, more than 23,760 students have been hired for co-op work terms.

Read more: https://t.co/7mmPiv91hS https://t.co/C5V1tBkGVt"
"3128","530","2021","173","Date","When the pandemic hit in March 2020, #UWaterloo quickly pivoted to develop new ways for students and employers to continue realizing their co-op advantage. As a result, in 2021, more than 23,760 students have been hired for co-op work terms.

Read more: https://t.co/7mmPiv91hS https://t.co/C5V1tBkGVt"
"3129","531","World","28","Organization","RT @UW_Wellness : Today is World Mental Health Day! We’ve all got mental health to care for just like our physical health. Take care of your mental health by practicing self-care activities. 

(1/3) https://t.co/txXGl1pjrG"
"3130","531","Mental Health Day","34","Organization","RT @UW_Wellness : Today is World Mental Health Day! We’ve all got mental health to care for just like our physical health. Take care of your mental health by practicing self-care activities. 

(1/3) https://t.co/txXGl1pjrG"
"3131","531","Today","19","Date","RT @UW_Wellness : Today is World Mental Health Day! We’ve all got mental health to care for just like our physical health. Take care of your mental health by practicing self-care activities. 

(1/3) https://t.co/txXGl1pjrG"
"3132","533","Talk Mental Health","175","Organization","As #UWaterloo gears up to celebrate Thrive Month, the President’s Anti-racism Taskforce, in collaboration with Thrive, has organized a virtual panel discussion called “Let’s Talk Mental Health at the Intersections” on October 21.

??https://t.co/g8owinxTJS | #WorldMentalHealthDay https://t.co/PUbw8PWMl4"
"3133","533","October 21","219","Date","As #UWaterloo gears up to celebrate Thrive Month, the President’s Anti-racism Taskforce, in collaboration with Thrive, has organized a virtual panel discussion called “Let’s Talk Mental Health at the Intersections” on October 21.

??https://t.co/g8owinxTJS | #WorldMentalHealthDay https://t.co/PUbw8PWMl4"
"3134","534","Computer Science Ph.D.","30","Organization","Shenghao Yang, a second-year Computer Science Ph.D. student in @WaterlooMath, is concerned not only with challenges in his area of study but also with one of the world's most pressing issues, COVID-19.

Read more: https://t.co/avGwyk3Yvg https://t.co/smkPwJEhjb"
"3135","535","Hi Charlie","16","Location","@MediteraneanC Hi Charlie - Thank you for your message. You can find more information here: https://t.co/YdJYR5fXqZ"
"3136","536","Senate","18","Organization","On behalf of the Senate and the Board of Governors of #UWaterloo, it is our pleasure to invite the #UWaterlooCommunity to virtually attend the Installation of Dr. Vivek Goel as President and Vice-Chancellor of the University of Waterloo.

 https://t.co/VPAerjJtLH | @UWaterlooPres https://t.co/5GJmvVYvO7"
"3137","536","Board of Governors","33","Organization","On behalf of the Senate and the Board of Governors of #UWaterloo, it is our pleasure to invite the #UWaterlooCommunity to virtually attend the Installation of Dr. Vivek Goel as President and Vice-Chancellor of the University of Waterloo.

 https://t.co/VPAerjJtLH | @UWaterlooPres https://t.co/5GJmvVYvO7"
"3138","536","University of Waterloo","215","Organization","On behalf of the Senate and the Board of Governors of #UWaterloo, it is our pleasure to invite the #UWaterlooCommunity to virtually attend the Installation of Dr. Vivek Goel as President and Vice-Chancellor of the University of Waterloo.

 https://t.co/VPAerjJtLH | @UWaterlooPres https://t.co/5GJmvVYvO7"
"3139","537","World","20","Organization","RT @OHDuwaterloo : World Mental Health Day is this Sunday, October 10th. If you need to talk to someone, don’t wait. Being an @UWaterloo employee means there are free services to support you and your family 24/7. #YourNotAlone #MentalHealth #KeepingWellAtWork 
https://t.co/0QbWwkWZHb https://t.co/zq0Ft4fVMo"
"3140","537","Mental Health Day","26","Organization","RT @OHDuwaterloo : World Mental Health Day is this Sunday, October 10th. If you need to talk to someone, don’t wait. Being an @UWaterloo employee means there are free services to support you and your family 24/7. #YourNotAlone #MentalHealth #KeepingWellAtWork 
https://t.co/0QbWwkWZHb https://t.co/zq0Ft4fVMo"
"3141","537","MentalHealth","229","Organization","RT @OHDuwaterloo : World Mental Health Day is this Sunday, October 10th. If you need to talk to someone, don’t wait. Being an @UWaterloo employee means there are free services to support you and your family 24/7. #YourNotAlone #MentalHealth #KeepingWellAtWork 
https://t.co/0QbWwkWZHb https://t.co/zq0Ft4fVMo"
"3142","537","Sunday","52","Date","RT @OHDuwaterloo : World Mental Health Day is this Sunday, October 10th. If you need to talk to someone, don’t wait. Being an @UWaterloo employee means there are free services to support you and your family 24/7. #YourNotAlone #MentalHealth #KeepingWellAtWork 
https://t.co/0QbWwkWZHb https://t.co/zq0Ft4fVMo"
"3143","537","October 10th","60","Date","RT @OHDuwaterloo : World Mental Health Day is this Sunday, October 10th. If you need to talk to someone, don’t wait. Being an @UWaterloo employee means there are free services to support you and your family 24/7. #YourNotAlone #MentalHealth #KeepingWellAtWork 
https://t.co/0QbWwkWZHb https://t.co/zq0Ft4fVMo"
"3144","538","University","61","Organization","Monday, October 11th is Thanksgiving, which means that many University operations will be closed or operating under modified hours. 

More details: https://t.co/vKNrGmd3aJ https://t.co/yfZUjV7tf8"
"3145","538","Monday","1","Date","Monday, October 11th is Thanksgiving, which means that many University operations will be closed or operating under modified hours. 

More details: https://t.co/vKNrGmd3aJ https://t.co/yfZUjV7tf8"
"3146","538","October 11th","9","Date","Monday, October 11th is Thanksgiving, which means that many University operations will be closed or operating under modified hours. 

More details: https://t.co/vKNrGmd3aJ https://t.co/yfZUjV7tf8"
"3147","538","Thanksgiving","25","Date","Monday, October 11th is Thanksgiving, which means that many University operations will be closed or operating under modified hours. 

More details: https://t.co/vKNrGmd3aJ https://t.co/yfZUjV7tf8"
"3148","539","Dean","55","Person","RT @WISA_UW : Re-live our launch with @Cmdr_Hadfield, Dean of @WaterlooENG Mary Wells, @NAVBLUE_aero's Thomas Lagaillarde, our Director @skearns4, and Moderator @b_momani! Thank you to all attendees and a special thank you to all of our esteemed panelists! @UWaterloo 

https://t.co/8NUsTh0Fcg"
"3149","539","Mary Wells","76","Person","RT @WISA_UW : Re-live our launch with @Cmdr_Hadfield, Dean of @WaterlooENG Mary Wells, @NAVBLUE_aero's Thomas Lagaillarde, our Director @skearns4, and Moderator @b_momani! Thank you to all attendees and a special thank you to all of our esteemed panelists! @UWaterloo 

https://t.co/8NUsTh0Fcg"
"3150","539","Thomas Lagaillarde","104","Person","RT @WISA_UW : Re-live our launch with @Cmdr_Hadfield, Dean of @WaterlooENG Mary Wells, @NAVBLUE_aero's Thomas Lagaillarde, our Director @skearns4, and Moderator @b_momani! Thank you to all attendees and a special thank you to all of our esteemed panelists! @UWaterloo 

https://t.co/8NUsTh0Fcg"
"3151","54","March","107","Date","Join @UWaterloo as we celebrate #InternationalWomensDay through a virtual keynote and panel discussion on March 8th. 

Together, we will explore new opportunities to engage women and racialized communities in our post-pandemic economy.

Register here: https://t.co/CaHst81fmo https://t.co/xrGEOAvLd0"
"3152","540","CS","64","Organization","RT @WaterlooMath : Computer Science at @UWaterloo ranks as top CS program in Canada for the second year in a row by the 2022 @macleans rankings. Congratulations @UWCheritonCS! https://t.co/xuc5wnPXdw"
"3153","540","2022","121","Date","RT @WaterlooMath : Computer Science at @UWaterloo ranks as top CS program in Canada for the second year in a row by the 2022 @macleans rankings. Congratulations @UWCheritonCS! https://t.co/xuc5wnPXdw"
"3154","540","Canada","78","Location","RT @WaterlooMath : Computer Science at @UWaterloo ranks as top CS program in Canada for the second year in a row by the 2022 @macleans rankings. Congratulations @UWCheritonCS! https://t.co/xuc5wnPXdw"
"3155","541","Canada","74","Location","#UWaterloo has secured its top spot as the most innovative University in Canada.

""It is because of our exceptional community of students, researchers, faculty members, staff and...partners that we continue to achieve such prestigious rankings in Canada.""

https://t.co/XWYYRnHu2I https://t.co/tNxDTLvMIt"
"3156","541","Canada","248","Location","#UWaterloo has secured its top spot as the most innovative University in Canada.

""It is because of our exceptional community of students, researchers, faculty members, staff and...partners that we continue to achieve such prestigious rankings in Canada.""

https://t.co/XWYYRnHu2I https://t.co/tNxDTLvMIt"
"3157","543","Waterloo","156","Person","#UWaterloo recognizes outstanding employers for their positive impact on co-operative and experiential education. Employer Impact Award recipients offered Waterloo students unique opportunities to develop their skills.

Read more: https://t.co/3q9xVcsxqJ https://t.co/OFA6bnZVXP"
"3158","545","$30,000 scholarships","189","Money","Three first-year students in @WaterlooENG are starting their studies with support from a technology giant. Shivam Jindal, Mulei Mao, and Sophia Nguyen are among the first 10 recipients of $30,000 scholarships from @amazonca.

??https://t.co/u0KoV0UEZO | #AmazonFutureEngineer https://t.co/vdlD86YWt9"
"3159","546","President’s","18","Organization","Join the virtual President’s Forum today at 1:30 PM for a conversation with @UWaterlooPres as he shares his perspectives and opportunities for the University. 

Register here: https://t.co/wzJ7DR2pJ1 https://t.co/sB87HrghEz"
"3160","546","University","148","Organization","Join the virtual President’s Forum today at 1:30 PM for a conversation with @UWaterlooPres as he shares his perspectives and opportunities for the University. 

Register here: https://t.co/wzJ7DR2pJ1 https://t.co/sB87HrghEz"
"3161","546","today","36","Date","Join the virtual President’s Forum today at 1:30 PM for a conversation with @UWaterlooPres as he shares his perspectives and opportunities for the University. 

Register here: https://t.co/wzJ7DR2pJ1 https://t.co/sB87HrghEz"
